الكترونيك (3), , دکتر شعاعی, امید شعاعی, 25486, 16063
فيزيك الكترونيك, , دکتر مهاجرزاده, سیدشمس ا لدین مهاجرزاده, 24506, 16055
فيزيك مدرن, , دکتر پور فتح, مهدی پور فتح, 28935, 16109
سيستمهای نهفته مبتنی بر مدارات قابل برنامه ريزی (FPGA), , دکتر علیزاده, بیژن علیزاده ملفه, 28763, 16105
ساختمان داده در مهندسی برق, , دکتر کمال, مهدی کمال, 30584, 16123
آزمايشگاه تجهيزات پزشكي, , دکتر حسین زاده, غلامعلی حسین زاده دهکردی, 26169, 16072
تجهيزات عمومی بيمارستان ها, , دکتر آخوندی,  دکتر آخوندی, , 18338
مديريت اطلاعات پزشكي, , دكتر ظروفي, رضا آقائی زاده ظروفی, 25565, 16064
اصول سيستمهای راديولوژی, , دکتر سلطانیان زاده, حمید سلطانیان زاده, 21705, 16034
آزمايشگاه مدارهاي مخابراتي, , دكتر كمره‌ اي, محمود کمره ای, 23223, 16042
آزمايشگاه مدارهاي مخابراتي, , دكتر كمره‌ اي, محمود کمره ای, 23223, 16042
آزمايشگاه مدارهاي مخابراتي, , دكتر كمره‌ اي, محمود کمره ای, 23223, 16042
آزمايشگاه راديو نرم‌افزار, , دكتر شاه منصوری, وحید شاه منصوری, 30090, 16119
آزمایشگاه مایکروویو, , دکتر راشدمحصل, جلیل اقا راشدمحصل, 24220, 16052
آزمایشگاه مخابرات دیجیتال, , دکتر الفت, علی الفت, 26871, 16081
آنتن (1), , دکتر یوسفی, لیلا یوسفی, 29986, 16112
مايكروويو (1), , دكتر كمره‌اي, محمود کمره ای, 23223, 16042
مخابرات (2), , دکتر ربیعی, امیر مسعود ربیعی, 28667, 16101
مدارهاي مخابراتي, , دكتر كمره‌اي, محمود کمره ای, 23223, 16042
ميدان ها و امواج, , دکتر دهملائیان, مجتبی دهملائیان, 28159, 16097
پردازش سیگنال های دیجیتال, , دکتر اخائی, محمد علی اخائی, 28868, 16107
آزمايشگاه سيستم هاي كنترل خطي, , دكتر عباسیان, تورج عباسیان نجف آبادی, 28693, 16102
آزمايشگاه سيستم هاي كنترل خطي, , دكتر بهرامی, فریبا بهرامی بوده لالو, 22359, 16037
آزمايشگاه سيستم هاي كنترل خطي, , دكتر عباسیان, تورج عباسیان نجف آبادی, 28693, 16102
آزمايشگاه سيستم هاي كنترل خطي, , دكتر بهرامی, فریبا بهرامی بوده لالو, 22359, 16037
آزمايشگاه سيستم هاي كنترل خطي, , دكتر عباسیان, تورج عباسیان نجف آبادی, 28693, 16102
آزمايشگاه سيستم هاي كنترل خطي, , دكتر بهرامی, فریبا بهرامی بوده لالو, 22359, 16037
آزمايشگاه سيستم هاي كنترل خطي, , دكتر عباسیان, تورج عباسیان نجف آبادی, 28693, 16102
آزمايشگاه سيستم هاي كنترل خطي, , دكتر بهرامی, فریبا بهرامی بوده لالو, 22359, 16037
آزمايشگاه سيستم هاي كنترل خطي, , دكتر عباسیان, تورج عباسیان نجف آبادی, 28693, 16102
آزمايشگاه سيستم هاي كنترل خطي, , دكتر بهرامی, فریبا بهرامی بوده لالو, 22359, 16037
تحقيق در عمليات, , دکتر حسینی, رشاد حسینی, 30514, 16122
